stem,word,frequency
dr,dress,67199
pr,press,66918
congr,congress,55168
expr,express,48673
proc,process,47677
gu,guess,47000
succ,success,44058
addr,address,40812
progr,progress,35913
poss,possess,32786
conf,confess,16893
impr,impress,15253
mistr,mistress,12511
princ,princess,11898
distr,distress,11020
str,stress,10699
exc,excess,9560
acc,access,9552
m,mess,8872
suppr,suppress,7948
actr,actress,5428
prof,profess,5207
count,countess,5196
car,caress,4705
rec,recess,4467
oppr,oppress,4162
fortr,fortress,4035
host,hostess,3625
duch,duchess,3549
ass,assess,3488
godd,goddess,3170
compr,compress,2730
mattr,mattress,2678
undr,undress,2536
waitr,waitress,2315
ch,chess,2315
j,jess,2152
repr,repress,2066
b,bess,1936
redr,redress,1895
empr,empress,1829
cypr,cypress,1748
heir,heiress,1664
depr,depress,1655
prow,prowess,1356
tr,tress,1314
burg,burgess,1221
buttr,buttress,995
h,hess,993
steward,stewardess,883
abb,abbess,875
cr,cress,860
t,tess,752
seamstr,seamstress,634
priest,priestess,549
transgr,transgress,452
negr,negress,442
headdr,headdress,440
disposs,dispossess,436
egr,egress,360
sorcer,sorceress,329
shepherd,shepherdess,328
f,fess,303
author,authoress,289
tigr,tigress,289
dur,duress,271
jew,jewess,269
laundr,laundress,265
enchantr,enchantress,263
obs,obsess,263
absc,abscess,262
marqu,marquess,252
digr,digress,241
br,bress,238
schoolmistr,schoolmistress,223
cinemactr,cinemactress,220
murder,murderess,211
gr,gress,206
larg,largess,204
adventur,adventuress,196
nightdr,nightdress,192
prophet,prophetess,188
ingr,ingress,188
poet,poetess,182
,ess,177
regr,regress,176
c,cess,176
reass,reassess,174
overdr,overdress,174
benefactr,benefactress,171
lo,loess,169
dutch,dutchess,163
headmistr,headmistress,156
kr,kress,149
watercr,watercress,139
proprietr,proprietress,131
prior,prioress,130
reposs,repossess,109
archduch,archduchess,107
huntr,huntress,106
giant,giantess,102
vri,vriess,101
g,gess,100
protectr,protectress,88
songstr,songstress,87
quaker,quakeress,86
adulter,adulteress,86
seer,seeress,85
preceptr,preceptress,85
r,ress,82
per,peress,81
postmistr,postmistress,80
instructr,instructress,79
temptr,temptress,79
eldr,eldress,78
childr,childress,74
sundr,sundress,74
housedr,housedress,73
ancestr,ancestress,71
traitr,traitress,68
viscount,viscountess,64
sculptr,sculptress,63
manager,manageress,61
directr,directress,56
fli,fliess,55
sempstr,sempstress,54
y,yess,53
d,dess,53
v,vess,53
overstr,overstress,51
portr,portress,51
outgu,outguess,47
ogr,ogress,44
burr,burress,43
k,kess,43
tailor,tailoress,42
moabit,moabitess,39
peer,peeress,39
jacqu,jacquess,39
i,iess,38
reproc,reprocess,37
decompr,decompress,36
janitr,janitress,36
letterpr,letterpress,35
seductr,seductress,33
leopard,leopardess,31
sarab,sarabess,29
superior,superioress,29
millionair,millionairess,28
ambassadr,ambassadress,27
clothespr,clothespress,26
procur,procuress,26
dy,dyess,24
winepr,winepress,24
arbitr,arbitress,23
s,sess,23
misthr,misthress,23
su,suess,23
klarg,klargess,23
prinz,prinzess,22
preposs,prepossess,20
bankr,bankress,20
mayor,mayoress,19
ho,hoess,19
monitr,monitress,19
degr,degress,18
barthelm,barthelmess,18
conductr,conductress,17
fentr,fentress,17
mcdy,mcdyess,17
foundr,foundress,16
unsucc,unsuccess,16
congi,congiess,16
archer,archeress,15
minidr,minidress,15
maestr,maestress,15
mikumw,mikumwess,15
wizard,wizardess,15
editr,editress,14
sturg,sturgess,13
underdr,underdress,13
davi,daviess,12
printingpr,printingpress,12
embroider,embroideress,12
artr,artress,12
hairdr,hairdress,12
comt,comtess,11
battledr,battledress,11
eveningdr,eveningdress,11
doctr,doctress,11
andr,andress,11
poythr,poythress,10
supr,supress,10
adultr,adultress,10
cater,cateress,10
electr,electress,10
retrogr,retrogress,10
votar,votaress,10
mahtigw,mahtigwess,10
ple,pleess,10
superfortr,superfortress,9
wardr,wardress,9
readdr,readdress,9
antistr,antistress,9
me,meess,9
brod,brodess,9
aggr,aggress,9
nec,necess,9
dioc,diocess,9
auditr,auditress,8
mulattr,mulattress,8
panther,pantheress,8
fri,friess,8
tutor,tutoress,8
toastmistr,toastmistress,8
bogg,boggess,8
taskmistr,taskmistress,8
spr,spress,7
w,wess,7
fulldr,fulldress,7
na,naess,7
ke,keess,7
roc,rocess,7
vicar,vicaress,7
thi,thiess,7
bastr,bastress,7
miss,missess,6
pennycr,pennycress,6
curt,curtess,6
com,comess,6
nonsucc,nonsuccess,6
rogr,rogress,6
matr,matress,6
congt,congtess,6
happm,happmess,6
p,pess,6
pitch,pitchess,6
prestr,prestress,6
th,thess,6
shirtdr,shirtdress,6
adr,adress,6
spi,spiess,6
busih,busihess,5
concr,concress,5
headwaitr,headwaitress,5
interlocutr,interlocutress,5
paintr,paintress,5
peasant,peasantess,5
handpr,handpress,5
ministr,ministress,5
dhr,dhress,5
inheritr,inheritress,5
ddr,ddress,5
idolatr,idolatress,5
stratofortr,stratofortress,5
fr,fress,5
abc,abcess,5
traitor,traitoress,5
mi,miess,5
gongr,gongress,5
bedpr,bedpress,5
prog,progess,5
fu,fuess,5
mulatr,mulatress,5
bo,boess,5
prot,protess,5
xpr,xpress,5
igu,iguess,5
meestr,meestress,5
espr,espress,5
porter,porteress,4
prec,precess,4
creatr,creatress,4
turboexpr,turboexpress,4
andersongu,andersonguess,4
schulth,schulthess,4
snak,snakess,4
sh,shess,4
suee,sueeess,4
sacc,saccess,4
unexpr,unexpress,4
wamb,wambess,4
tygr,tygress,4
cherk,cherkess,4
weddingdr,weddingdress,4
do,doess,4
childgodd,childgoddess,4
cougr,cougress,4
president,presidentess,4
busiu,busiuess,4
reverend,reverendess,4
innem,innemess,4
ipcr,ipcress,4
nigr,nigress,4
servitr,servitress,4
hermit,hermitess,4
kerm,kermess,4
